id,source,type,leader_name,first_name,second_name,third_name,father_name,last_name,title,program,function,summary,url,gender,listed_at,updated_at,timestamp
us-cia-world-leaders.1ae72fe74b187e35022a25406bd11ceffb1cf7d6,us-cia-world-leaders,individual,Ashraf GHANI,,,,,,,Afghanistan,Pres.,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:55.779185
us-cia-world-leaders.c31398ec6dee0531a4ce66820ffaec7a20854dba,us-cia-world-leaders,individual,"Abdullah ABDULLAH , Dr.",,,,,,,Afghanistan,CEO,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:55.809650
us-cia-world-leaders.c0357f11fc3b4b4ab6d5e565e94117f5a6caca74,us-cia-world-leaders,individual,Abdul Rashid DOSTAM,,,,,,,Afghanistan,First Vice Pres.,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:55.823690
us-cia-world-leaders.c14469c961665f1f7c83e304bdeca35c108181f1,us-cia-world-leaders,individual,Sarwar DANESH,,,,,,,Afghanistan,Second Vice Pres.,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:55.843664
us-cia-world-leaders.21aa735ac23ecb40074d36dad2d61851f08df0ae,us-cia-world-leaders,individual,Khyal Mohammad KHAN,,,,,,,Afghanistan,First Deputy CEO,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:55.862665
us-cia-world-leaders.ae7ae744885d2b4a95131cfc1cc59e5abb2329ae,us-cia-world-leaders,individual,Mohammad MOHAQQEQ,,,,,,,Afghanistan,Second Deputy CEO,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:55.880383
us-cia-world-leaders.8d37011c21ffb51f90e780a836c7b44bb6ac6557,us-cia-world-leaders,individual,Assadullah ZAMIR,,,,,,,Afghanistan,"Min. of Agriculture, Irrigation, & Livestock",,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:55.914065
us-cia-world-leaders.618e9ae8357eccea559b616400cf37d7c301ba0f,us-cia-world-leaders,individual,Mohammad Gulab MANGAL,,,,,,,Afghanistan,Min. of Border & Tribal Affairs,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:55.930142
us-cia-world-leaders.1caad2e11e742db99dcce915493c6881dabb93b3,us-cia-world-leaders,individual,Homayoun RASA,,,,,,,Afghanistan,Min. of Commerce & Industry,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:55.950115
us-cia-world-leaders.d28c2f8d2a121fe113fcbb80d0956028bfea2d41,us-cia-world-leaders,individual,Salamat AZIMI,,,,,,,Afghanistan,Min. of Counternarcotics,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.051846
