name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Alberto Bombassei,Bombassei,alberto-bombassei,alberto-bombassei,0,77,automotive brakes,Automotive,M,Italy,1516704901086,1112.617,1945,1945
Alexander Samwer,Samwer,alexander-samwer,alexander-samwer,13.109,42,tech startups,Technology,M,Germany,1516704901086,1257.396,1806,1806
Amit Burman,Burman,amit-burman,amit-burman,3.959,48,consumer goods,Food and Beverage,M,India,1516704901086,1315.59,1753,1753
Anant Asavabhokhin & family,Asavabhokhin,anant-asavabhokhin,no-pic,-12.488,67,real estate,Real Estate,M,Thailand,1516704901086,1437.207,1646,1646
Andreas Pohl,Pohl,andreas-pohl,andreas-pohl,0,53,mutual funds,Finance and Investments,M,Germany,1516704901086,1211.682,1856,1856
Andrei Filatov,Filatov,andrei-filatov,andrei-filatov,6.215,46,"ports, railway transport",Logistics,M,Russia,1516704901086,1008.746,2011,2011
Anton Kathrein Jr,Kathrein,anton-kathrein-jr,anton-kathrein-jr,0,33,antennas,Manufacturing,M,Germany,1516704901086,1101.828,1952,1952
Anu Aga,Aga,anu-aga,anu-aga,-12.506,75,engineering,Construction & Engineering,F,India,1516704901086,1493.006,1599,1599
Ayman Hariri,Hariri,ayman-hariri,ayman-hariri,0,39,"construction, investments",Construction & Engineering,M,Lebanon,1516704901086,1520.76,1579,1579
Banthoon Lamsam & family,Lamsam,banthoon-lamsam,banthoon-lamsam,-2.497,65,banking,Finance and Investments,M,Thailand,1516704901086,1238.151,1832,1832
Bill Adderley & family,Adderley,bill-adderley,no-pic,9.909,69,home furnishings,Fashion & Retail,M,United Kingdom,1516704901086,1372.022,1703,1703
Brothers Chearavanont,Chearavanont,brothers-chearavanont,brothers-chearavanont,353.312,,food,Food and Beverage,M,Thailand,1516704901086,32553.127,25,25
Cai Xiaoru,Cai,cai-xiaoru,no-pic,0,38,electronic components,Technology,M,China,1516704901086,1054.661,1991,1991
Cameron Mackintosh,Mackintosh,cameron-mackintosh,cameron-mackintosh,0,71,musical theater,Media & Entertainment,M,United Kingdom,1516704901086,1056.974,1990,1990
Chalerm Yoovidhya & family,Yoovidhya,chalerm-yoovidhya,chalerm-yoovidhya,0,67,energy drinks,Food and Beverage,M,Thailand,1516704901086,13814.459,116,116
Charles Butt & family,Butt,charles-butt,charles-butt,0,79,supermarkets,Fashion & Retail,M,United States,1516704901086,10700,151,151
Charles Cadogan & family,Cadogan,charles-cadogan,no-pic,0,80,real estate,Real Estate,M,United Kingdom,1516704901086,7597.619,232,232
Chatchai Kaewbootta,Kaewbootta,chatchai-kaewbootta,chatchai-kaewbootta,-17.854,66,finance,Finance and Investments,M,Thailand,1516704901086,1115.649,1943,1943
Chatri Sophonpanich & family,Sophonpanich,chatri-sophonpanich,chatri-sophonpanich,8.613,83,banking,Finance and Investments,M,Thailand,1516704901086,1549.622,1550,1550
Chen Jinsong & family,Chen,chen-jinsong,chen-jinsong,3.447,54,real estate,Real Estate,M,Hong Kong,1516704901086,1065.577,1982,1982
Chen Tianqiao,Chen,chen-tianqiao,chen-tianqiao,22.669,44,online games,Technology,M,China,1516704901086,1548.751,1552,1552
Cheng Wei,Cheng,cheng-wei,cheng-wei,0,35,ride-hailing service,Service,M,China,1516704901086,1200,1866,1866
Chirathivat family,Chirathivat family,chirathivat-family,chirathivat-family,-123.644,,retail,Fashion & Retail,,Thailand,1516704901086,20525.9,57,57
Chuchat & Daonapa Petaumpai,Petaumpai,chuchat-daonapa-petaumpai,chuchat-daonapa-petaumpai,33.84,64,finance,Finance and Investments,,Thailand,1516704901086,1869.134,1339,1339
Craig Newmark,Newmark,craig-newmark,no-pic,0,65,Craigslist,Technology,M,United States,1516704901086,1305.9,1763,1763
Daniel Tsai & family,Tsai,daniel-tsai-1,no-pic,10.439,,finance,Finance and Investments,M,Taiwan,1516704901086,9747.938,175,175
Desmond Sacco,Sacco,desmond-sacco,desmond-sacco,-57.248,75,mining,Metals & Mining,M,South Africa,1516704901086,1150.433,1916,1916
Dieter Schaub,Schaub,dieter-schaub,no-pic,0,80,media,Media & Entertainment,M,Germany,1516704901086,2266.818,1115,1115
Dik Wessels,Wessels,dik-wessels,no-pic,0,72,"construction, engineering",Construction & Engineering,M,Netherlands,1516704901086,2898.147,834,834
Douglas Hsu & family,Hsu,douglas-hsu,douglas-hsu,-2.771,75,diversified,Diversified,M,Taiwan,1516704901086,1327.134,1745,1745
