position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender,squareImage
1,1,Hui Ka Yan,Hui,hui-ka-yan,hui-ka-yan,42500,59,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a0b1beb4bbe6f6cadc8770a/416x416.jpg?background=000000&cropX1=1331&cropX2=3982&cropY1=0&cropY2=2649
2,2,Ma Huateng,Ma,ma-huateng,ma-huateng,39000,46,internet media,Technology,M,//specials-images.forbesimg.com/imageserve/5a0b1c5f4bbe6f6cadc87723/416x416.jpg?background=000000&cropX1=4&cropX2=1995&cropY1=266&cropY2=2259
3,3,Jack Ma,Ma,jack-ma,jack-ma,38600,53,e-commerce,Technology,M,//specials-images.forbesimg.com/imageserve/5a0b1dbf4bbe6f6cadc8775a/416x416.jpg?background=000000&cropX1=746&cropX2=3724&cropY1=0&cropY2=2976
4,4,Wang Jianlin,Wang,wang-jianlin,wang-jianlin,25200,63,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a0b1e1331358e542c053e6a/416x416.jpg?background=000000&cropX1=1473&cropX2=5308&cropY1=8&cropY2=3840
5,5,Wang Wei,Wang,wang-wei,wang-wei,22300,48,package delivery,Service,M,//specials-images.forbesimg.com/imageserve/5a0b1e5a31358e542c053e81/416x416.jpg?background=000000&cropX1=0&cropX2=1996&cropY1=4&cropY2=2001
6,6,Yang Huiyan,Yang,yang-huiyan,yang-huiyan,20700,36,real estate,Real Estate,F,//specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602
7,7,He Xiangjian,He,he-xiangjian,he-xiangjian,18700,75,home appliances,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a0b1ea8a7ea436b47b558e1/416x416.jpg?background=000000&cropX1=4&cropX2=2000&cropY1=609&cropY2=2606
8,8,Robin Li,Li,robin-li,robin-li,17100,49,internet search,Technology,M,//specials-images.forbesimg.com/imageserve/5a05ee0b31358e542c051885/416x416.jpg?background=000000&cropX1=677&cropX2=1994&cropY1=0&cropY2=1317
9,9,William Ding,Ding,william-ding,william-ding,16900,46,online games,Technology,M,//specials-images.forbesimg.com/imageserve/5a05ee844bbe6f37dda228e8/416x416.jpg?background=000000&cropX1=660&cropX2=3091&cropY1=12&cropY2=2441
10,10,Li Shufu,Li,li-shufu,li-shufu,16500,54,automobiles,Automotive,M,//specials-images.forbesimg.com/imageserve/5a05eeeaa7ea436b47b5328e/416x416.jpg?background=000000&cropX1=629&cropX2=3298&cropY1=0&cropY2=2667
11,11,Wang Wenyin,Wang,wang-wenyin,wang-wenyin,13500,50,"mining, copper products",Metals & Mining,M,//specials-images.forbesimg.com/imageserve/e94afbcadb087101242c43af4ece6485/416x416.jpg?background=000000&cropX1=124&cropX2=602&cropY1=6&cropY2=485
12,12,Zhang Zhidong,Zhang,zhang-zhidong,zhang-zhidong,13400,46,internet media,Technology,M,http://specials-images.forbesimg.com/imageserve/8c2c90c2667221740e4fe57cde754bf8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=73&cropY2=817
13,13,Zhou Qunfei,Zhou,zhou-qunfei,zhou-qunfei,10600,48,smartphone screens,Technology,F,//specials-images.forbesimg.com/imageserve/561f080ce4b0ffa7afe5df56/416x416.jpg?background=000000&cropX1=108&cropX2=647&cropY1=82&cropY2=622
14,14,Sun Hongbin,Sun,sun-hongbin,sun-hongbin,10400,55,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a0b1f5931358e542c053e93/416x416.jpg?background=000000&cropX1=372&cropX2=2484&cropY1=5&cropY2=2115
15,15,Gong Hongjia,Gong,gong-hongjia,gong-hongjia,10300,53,investments,Finance and Investments,M,//specials-images.forbesimg.com/imageserve/5a0b202f31358e542c053ebc/416x416.jpg?background=000000&cropX1=15&cropX2=3456&cropY1=333&cropY2=3777
16,16,Guo Guangchang,Guo,guo-guangchang,guo-guangchang,10000,50,conglomerate,Diversified,M,//specials-images.forbesimg.com/imageserve/5a0b210f4bbe6f6cadc877d7/416x416.jpg?background=000000&cropX1=903&cropX2=3572&cropY1=0&cropY2=2667
17,17,Xu Shihui,Xu,xu-shihui,xu-shihui,9500,60,"snacks, beverages",Food and Beverage,M,//specials-images.forbesimg.com/imageserve/5a05f0a14bbe6f37dda22921/416x416.jpg?background=000000&cropX1=9&cropX2=4009&cropY1=480&cropY2=4484
18,18,Liu Qiangdong,Liu,liu-qiangdong,liu-qiangdong,9400,43,e-commerce,Technology,M,//specials-images.forbesimg.com/imageserve/5a05f122a7ea436b47b532de/416x416.jpg?background=000000&cropX1=269&cropX2=2788&cropY1=5&cropY2=2523
19,19,Pan Zhengmin,Pan,pan-zhengmin,pan-zhengmin,9300,48,electronics,Technology,M,//specials-images.forbesimg.com/imageserve/58dbb68531358e58f079d9b2/416x416.jpg?background=000000&cropX1=51&cropX2=956&cropY1=3&cropY2=908
20,20,Zong Qinghou,Zong,zong-qinghou,zong-qinghou,9100,72,beverages,Food and Beverage,M,//specials-images.forbesimg.com/imageserve/5a05f1a631358e542c0518f7/416x416.jpg?background=000000&cropX1=348&cropX2=2062&cropY1=4&cropY2=1717
21,21,Yao Zhenhua,Yao,yao-zhenhua,yao-zhenhua,8200,47,conglomerate,Diversified,M,//specials-images.forbesimg.com/imageserve/5a05f1ffa7ea436b47b53301/416x416.jpg?background=000000&cropX1=687&cropX2=2229&cropY1=154&cropY2=1695
22,22,Hui Wing Mau,Hui,hui-wing-mau,hui-wing-mau,7200,67,real estate,Real Estate,M,
23,23,Sun Piaoyang,Sun,sun-piaoyang,sun-piaoyang,7100,59,pharmaceuticals,Healthcare,M,
24,24,Wu Yajun,Wu,wu-yajun,wu-yajun,6900,54,real estate,Real Estate,F,//specials-images.forbesimg.com/imageserve/5a0c91a431358e286470091b/416x416.jpg?background=000000&cropX1=270&cropX2=3154&cropY1=94&cropY2=2977
25,25,Lei Jun,Lei,lei-jun,lei-jun,6800,48,smartphones,Technology,M,//specials-images.forbesimg.com/imageserve/5a05f42931358e542c05191d/416x416.jpg?background=000000&cropX1=1245&cropX2=4162&cropY1=349&cropY2=3264
26,26,Yan Zhi,Yan,yan-zhi,yan-zhi,6700,45,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a05f4aa4bbe6f37dda229b3/416x416.jpg?background=000000&cropX1=1046&cropX2=3661&cropY1=0&cropY2=2613
27,27,Zhang Jinmei,Zhang,zhang-jinmei,no-pic-female,6500,,conglomerate,Automotive,F,
28,28,Liu Yongxing,Liu,liu-yongxing,liu-yongxing,6400,69,agribusiness,Service,M,//specials-images.forbesimg.com/imageserve/5a05f5144bbe6f37dda229ca/416x416.jpg?background=000000&cropX1=358&cropX2=3209&cropY1=6&cropY2=2855
29,29,Wang Wenxue,Wang,wang-wenxue,wang-wenxue,6350,50,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a05f56531358e542c051956/416x416.jpg?background=000000&cropX1=223&cropX2=1506&cropY1=3&cropY2=1285
30,30,Wei Jianjun,Wei,wei-jianjun,wei-jianjun,6200,53,automobiles,Automotive,M,//specials-images.forbesimg.com/imageserve/5a05f5ca31358e542c05195b/416x416.jpg?background=000000&cropX1=880&cropX2=3651&cropY1=0&cropY2=2769
31,31,Pang Kang,Pang,pang-kang,no-pic,6000,62,soy sauce maker,Food and Beverage,M,
32,32,Lin Xiucheng,Lin,lin-xiucheng,lin-xiucheng,5740,62,electronics,Technology,M,http://specials-images.forbesimg.com/imageserve/c6c43100dbae28f161e7055a5e75f340/416x416.jpg?background=000000&cropX1=8&cropX2=591&cropY1=105&cropY2=688
