id,source,type,name,first_name,second_name,third_name,father_name,last_name,title,program,function,summary,url,gender,listed_at,updated_at,timestamp
un-sc-sanctions.6908555,un-sc-sanctions,individual,RI WON HO,RI,WON HO,,,,,DPRK (KPi.033),DPRK Ministry of State Security Official,Ri Won Ho is a DPRK Ministry of State Security Official stationed in Syria supporting KOMID.,,,2016-11-30,,2018-01-13T13:40:47.822812
un-sc-sanctions.6908570,un-sc-sanctions,individual,CHANG CHANG HA,CHANG,CHANG HA,,,,,DPRK (KPi.037),President of the Second Academy of Natural Sciences (SANS),,,,2016-11-30,,2018-01-13T13:40:47.838716
un-sc-sanctions.6908571,un-sc-sanctions,individual,CHO CHUN RYONG,CHO,CHUN RYONG,,,,,DPRK (KPi.038),Chairman of the Second Economic Committee (SEC),,,,2016-11-30,,2018-01-13T13:40:47.850294
un-sc-sanctions.6908565,un-sc-sanctions,individual,JO YONG CHOL,JO,YONG CHOL,,,,,DPRK (KPi.034),DPRK Ministry of State Security Official,Jo Yong Chol is a DPRK Ministry of State Security Official stationed in Syria supporting KOMID.,,,2016-11-30,,2018-01-13T13:40:47.860818
un-sc-sanctions.6908566,un-sc-sanctions,individual,KIM CHOL SAM,KIM,CHOL SAM,,,,,DPRK (KPi.035),Representative for Daedong Credit Bank (DCB),"Kim Chol Sam is a representative for Daedong Credit Bank (DCB) who has been involved in managing transactions on behalf of DCB Finance Limited. As an overseas-based representative of DCB, it is suspected that Kim Chol Sam has facilitated transactions worth hundreds of thousands of dollars and likely managed millions of dollars in DPRK related accounts with potential links to nuclear/missile programs.",,,2016-11-30,,2018-01-13T13:40:47.871855
un-sc-sanctions.6908568,un-sc-sanctions,individual,KIM SOK CHOL,KIM,SOK CHOL,,,,,DPRK (KPi.036),Acted as the DPRK Ambassador to Burma,"Kim Sok Chol acted as the DPRK Ambassador to Burma and he operates as a KOMID facilitator.  He was paid by KOMID for his assistance and arranges meetings on behalf of KOMID, including a meeting between KOMID and Burmese defense related persons to discuss financial matters.",,,2016-11-30,,2018-01-13T13:40:47.881662
un-sc-sanctions.6908558,un-sc-sanctions,individual,KIM SONG CHOL,KIM,SONG CHOL,,,,,DPRK (KPi.030),,Kim Song Chol is a KOMID official that has conducted business in Sudan on behalf of KOMID’s interests.,,,2016-11-30,,2018-01-13T13:40:47.893038
un-sc-sanctions.6908573,un-sc-sanctions,individual,KIM SE GON,KIM,SE GON,,,,,DPRK (KPi.032),,Kim Se Gon works on behalf of the Ministry of Atomic Energy Industry.,,,2016-11-30,,2018-01-13T13:40:47.907384
un-sc-sanctions.6908564,un-sc-sanctions,individual,SON JONG HYOK,SON,JONG HYOK,,,,,DPRK (KPi.031),,Son Jong Hyok is a KOMID official that has conducted business in Sudan on behalf of KOMID’s interests.,,,2016-11-30,,2018-01-13T13:40:47.921067
un-sc-sanctions.6908572,un-sc-sanctions,individual,SON MUN SAN,SON,MUN SAN,,,,,DPRK (KPi.039),"Director-General of the External Affairs Bureau of the General Bureau of
                Atomic Energy (GBAE)",,,,2016-11-30,,2018-01-13T13:40:47.934237
un-sc-sanctions.6908434,un-sc-sanctions,individual,عبدالخالق الحوثي,ABD,AL-KHALIQ,AL-HOUTHI,,,,Yemen (YEi.001),Huthi military commander,Gender [Male]. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5837297,,,2014-11-07,2014-11-20,2018-01-13T13:40:47.948404
un-sc-sanctions.6908576,un-sc-sanctions,individual,إياد نظمي صالح خليل,IYAD,NAZMI,SALIH,,,,Al-Qaida (QDi.400),,Leader of Al-Nusrah Front for the People of the Levant (QDe.137) for coastal area of Syrian Arab Republic since March 2016. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/6013286,,,2017-02-22,,2018-01-13T13:40:47.966377
un-sc-sanctions.6908443,un-sc-sanctions,individual,عبدالملك محمد يوسف عثمان عبد السلام,'ABD AL-MALIK,MUHAMMAD,YUSUF,,,,Al-Qaida (QDi.346),,"Facilitator who provides financial, material, and technological support
            for Al-Qaida (QDe.004) and Al-Nusrah Front for the People of the Levant
            (QDe.137). INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5843243",,,2015-01-23,,2018-01-13T13:40:47.986904
un-sc-sanctions.6908440,un-sc-sanctions,individual,اشرف محمد يوسف عثمان عبد السلام,ASHRAF,MUHAMMAD,YUSUF,,,,Al-Qaida (QDi.343),,"A member of Al-Qaida (QDe.004) as of 2012 and a fighter in the Syrian
            Arab Republic since early 2014. Provided financial, material, and technological support
            for Al-Qaida, Al-Nusrah Front for the People of the Levant (QDe.137) and Al-Qaida in
            Iraq (AQI) (QDe.115). INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5843240",,,2015-01-23,,2018-01-13T13:40:48.008098
un-sc-sanctions.110446,un-sc-sanctions,individual,FEREIDOUN ABBASI-DAVANI,FEREIDOUN,ABBASI-DAVANI,,,,,Iran (IRi.001),"Senior Ministry of Defence and Armed Forces Logistics (MODAFL)
            Scientist","Has ""links to the Institute of Applied Physics, working closely with
            Mohsen Fakhrizadeh-Mahabadi"" (designated under IRi.016) [Old Reference #
            I.47.C.1].",,,2007-03-24,2014-12-17,2018-01-13T13:40:48.025693
un-sc-sanctions.2975591,un-sc-sanctions,individual,عبد العزيز عباسین,ABDUL AZIZ,ABBASIN,,,,,Taliban (TAi.155),,"Key commander in the Haqqani Network (TAe.012) under Sirajuddin
            Jallaloudine Haqqani (TAi.144). Taliban Shadow Governor for Orgun District, Paktika
            Province as of early 2010. Operated a training camp for non-Afghan fighters in Paktika
            Province. Has been involved in the transport of weapons to Afghanistan. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4639645",,,2011-10-04,2013-04-22,2018-01-13T13:40:48.041942
un-sc-sanctions.111900,un-sc-sanctions,individual,نشوان عبد الرزاق عبد الباقي,NASHWAN,ABD AL-RAZZAQ,ABD AL-BAQI,,,,Al-Qaida (QDi.012),,"Joined Al-Qaida in 1996 and was at that time an important liaison to the Taliban in Afghanistan. Received money from Ansar al-Islam (QDe.098) in order to conduct attacks in Kirkuk and Ninveh in Iraq during spring and summer of 2005. Al-Qaida senior official. In custody of the United States of America, as of Aug. 2014. Father’s name: Abd al-Razzaq Abd al-Baqi. Mother’s name: Nadira Ayoub Asaad. Photo available for inclusion in the INTERPOL-UN Security Council Special Notice. Review pursuant to Security Council resolution 1822 (2008) was concluded on 15 Jun. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1475995",,,2001-10-06,2007-05-14,2018-01-13T13:40:48.057399
un-sc-sanctions.6908090,un-sc-sanctions,individual,همام عبد الخالق عبد الغفور,HUMAM,ABD-AL-KHALIQ,ABD-AL-GHAFUR,,,,Iraq (IQi.043),,,,,2003-06-27,,2018-01-13T13:40:48.094374
un-sc-sanctions.6908057,un-sc-sanctions,individual,كمال مصطفى عبد الله,KAMAL,MUSTAFA,ABDALLAH,,,,Iraq (IQi.010),,,,,2003-06-27,,2018-01-13T13:40:48.108588
un-sc-sanctions.111533,un-sc-sanctions,individual,عبد الله محمد رجب عبد الرحمن,ABD ALLAH,MOHAMED,RAGAB,,,,Al-Qaida (QDi.192),,"Member of Egyptian Islamic Jihad (QDe.003). Review pursuant to Security
            Council resolution 1822 (2008) was concluded on 1 Jun. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4493165",,,2005-09-29,2011-12-13,2018-01-13T13:40:48.122703
un-sc-sanctions.111301,un-sc-sanctions,individual,عزیز الرحمان عبد الاحد,AZIZIRAHMAN,ABDUL AHAD,,,,Mr,Taliban (TAi.121),"Third Secretary, Taliban Embassy, Abu Dhabi, United Arab
                Emirates","Belongs to Hotak tribe. Review pursuant to Security Council resolution
            1822 (2008) was concluded on 29 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4640065",,,2001-01-25,2003-09-03,2018-01-13T13:40:48.135207
un-sc-sanctions.111040,un-sc-sanctions,individual,عبدالغنی برادر عبد الاحمد ترک,ABDUL GHANI,BARADAR,ABDUL AHMAD TURK,,,Mullah,Taliban (TAi.024),Deputy Minister of Defence under the Taliban regime,"Arrested in Feb. 2010 and in custody in Pakistan. Extradition request to
            Afghanistan pending in Lahore High Court, Pakistan as of June 2011. Belongs to Popalzai
            tribe. Senior Taliban military commander and member of Taliban Quetta Council as of May
            2007. Review pursuant to Security Council resolution 1822 (2008) was concluded on 1 Jun.
            2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1427381",,,2001-02-23,2003-09-03,2018-01-13T13:40:48.148259
un-sc-sanctions.111302,un-sc-sanctions,individual,عبدالقدیر بصیر عبد البصير,ABDUL QADEER,BASIR,ABDUL BASEER,,,General,Taliban (TAi.128),"Military Attache, Taliban Embassy, Islamabad, Pakistan","Financial advisor to Taliban Peshawar Military Council and Head of
            Taliban Peshawar Financial Commission. Believed to be in Afghanistan/Pakistan border
            area. Review pursuant to Security Council resolution 1822 (2008) was concluded on 21
            Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1474039",,,2001-01-25,2003-09-03,2018-01-13T13:40:48.164882
un-sc-sanctions.110962,un-sc-sanctions,individual,نظر محمدعبد البصیر,NAZIR MOHAMMAD,ABDUL BASIR,,,,Maulavi,Taliban (TAi.100),Mayor of Kunduz City,"Alternative title: Sar Muallim. Reconciled after the fall of the Taliban
            regime, and assumed duties under the new Government on district level in Kunduz
            Province. Confirmed assassinated by Taliban on 9 November 2008. Review pursuant to
            Security Council resolution 1822 (2008) was concluded on 27 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4665167",,,2001-02-23,2003-09-03,2018-01-13T13:40:48.180202
un-sc-sanctions.111449,un-sc-sanctions,individual,MAJEED ABDUL CHAUDHRY,MAJEED,ABDUL CHAUDHRY,,,,,Al-Qaida (QDi.054),,"Review pursuant to Security Council resolution 1822 (2008) was concluded
            on 1 Jun. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1422960",,,2001-12-24,,2018-01-13T13:40:48.195771
un-sc-sanctions.690726,un-sc-sanctions,individual,عبدالغفار قریشی عبد الغنی,ABDUL GHAFAR,QURISHI,ABDUL GHANI,,,Maulavi,Taliban (TAi.130),"Repatriation Attache, Taliban Embassy, Islamabad,
            Pakistan","Involved in drug trafficking. Belongs to Tajik ethnic group. Review
            pursuant to Security Council resolution 1822 (2008) was concluded on 29 Jul.
            2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5741515",,,2001-01-25,2003-09-03,2018-01-13T13:40:48.210273
