date,place,title,visitor_name,type,organisation,gender,race,party,nationality,note
2017-01-20,White House,Secretary of Transportation,Elaine Chao,Cabinet member,,Asian,Asian,Republican,,
2017-01-20,White House,Former President,Barack Obama,U.S. politician,,Black,Black,Democrat,,
2017-01-20,White House,Former First Lady,Michelle Obama,,,Black,Black,Democrat,,
2017-01-20,White House,Senate Minority Leader,Chuck Schumer,U.S. politician,,White,White,Democrat,,
2017-01-20,White House,House Minority Leader,Nancy Pelosi,U.S. politician,,White,White,Democrat,,
2017-01-20,White House,Speaker of the House,Paul Ryan,U.S. politician,,White,White,Republican,,
2017-01-20,White House,Senate Majority Leader,Mitch McConnell,U.S. politician,,White,White,Republican,,
2017-01-20,White House,Missouri Senator,Roy Blunt,U.S. politician,,White,White,Republican,,
2017-01-20,By phone,California Representative,Kevin McCarthy,U.S. politician,,White,White,Republican,,
2017-01-22,By phone,Prime Minister of Israel,Benjamin Netanyahu,Foreign leader,,White,White,,Israel,
2017-01-23,White House,Former Chairman and CEO,Klaus Kleinfeld,Executive,Arconic,White,White,,,
2017-01-23,White House,CEO,Kevin Plank,Executive,Under Armour,White,White,,,
2017-01-23,White House,CEO,Elon Musk,Executive,Tesla and others,White,White,,,
2017-01-23,White House,CEO,Michael Dell,Executive,Dell,White,White,,,
2017-01-23,White House,"Chairwoman, President. CEO",Marillyn Hewson,Executive,Lockheed Martin,White,White,,,
2017-01-23,White House,Then-President and CEO,Mark Fields,Executive,Ford,White,White,,,
2017-01-23,White House,Chairman and CEO,Alex Gorsky,Executive,Johnson & Johnson,White,White,,,
2017-01-23,White House,Chairman and CEO,Jeff Fettig,Executive,Whirlpool,White,White,,,
2017-01-23,White House,Chairman and CEO,Mark Sutton,Executive,International Paper,White,White,,,
2017-01-23,White House,CEO,Wendell Weeks,Executive,"Corning, Inc.",White,White,,,
2017-01-23,White House,"Chairman, President and CEO",John Ferriola,Executive,Nucor Corporation,White,White,,,
2017-01-23,White House,Chairman and CEO,Andrew Liveris,Executive,Dow Chemical,White,White,,,
2017-01-23,By phone,President of Egypt,Abdel Fattah el-Sisi,Foreign leader,,White,White,,Egypt,
2017-01-23,White House,Senate Minority Leader,Chuck Schumer,U.S. politician,,White,White,Democrat,,
2017-01-23,White House,Texas Republican,John Cornyn,U.S. politician,,White,White,Republican,,
2017-01-23,White House,House Minority Leader,Nancy Pelosi,U.S. politician,,White,White,Democrat,,
2017-01-23,White House,Maryland Representative,Steny Hoyer,U.S. politician,,White,White,Democrat,,
2017-01-23,White House,Speaker of the House,Paul Ryan,U.S. politician,,White,White,Republican,,
2017-01-23,White House,Senate Majority Leader,Mitch McConnell,U.S. politician,,White,White,Republican,,
2017-01-23,White House,Political Director,Thomas Flynn,Union,United Brotherhood of Carpenters & Joiners of America,White,White,,,
2017-01-23,White House,President,Sean McGarvey,Union,North America's Building Trades Unions,White,White,,,
2017-01-23,White House,General President,Terry O'Sullivan,Union,Laborers' International Union of North America,White,White,,,
2017-01-23,White House,General President,Mark McManus,Union,The United Association,White,White,,,
2017-01-23,White House,,Donald Mullins,Union,"Steamfitters United Association, Local 602",White,White,,,
2017-01-23,White House,Second General Vice President,Frank Spencer,Union,United Brotherhood of Carpenters,White,White,,,
2017-01-23,White House,General President,Doug McCarron,Union,United Brotherhood of Carpenters,White,White,,,
2017-01-23,White House,General President,Joseph Sellers,Union,Sheet Metal Workers' Union/SMART Unio,White,White,,,
2017-01-23,White House,,Mark Uzarowski,Union,"United Association, Local 5",White,White,,,
2017-01-23,White House,Assistant Director,Stephen J Dodd,Union,Sheet Metal Workers' Union/SMART Union,White,White,,,
2017-01-23,White House,California Representative,Kevin McCarthy,U.S. politician,,White,White,Republican,,
2017-01-23,White House,,Mark Coles,Union,"Ironworkers, Local 5",Black,Black,,,
2017-01-23,White House,,Telma Mata,Union,"Heat and Frost Insulators and Allied Workers, Local 24",,,,,
2017-01-23,White House,"President, Local 19",Gary Masino,Union,Sheet Metal Workers' Union/SMART Unio,White,White,,,
2017-01-24,White House,"Executive Vice President & General Counsel, Legal and Public Policy",Craig Glidden,Executive,General Motors,White,White,,,
2017-01-24,White House,Head of External Affairs,Roger Karr,Executive,Fiat Chrysler Automobiles,White,White,,,
2017-01-24,White House,CEO,Sergio Marchionne,Executive,Fiat Chrysler,White,White,,,
2017-01-24,White House,Group Vice President of Government and Community Relations.,Ziad S Ojakli,Executive,New York Post,White,White,,,
2017-01-24,White House,CEO,Mary Barra,Executive,General Motors,White,White,,,
2017-01-24,White House,CIA Director,Mike Pompeo,Cabinet member,,White,White,,,
2017-01-24,By phone,Prime Minister of India,Narendra Modi,Foreign leader,,Asian,Asian,,India,
2017-01-24,White House,Senate Minority Leader,Chuck Schumer,U.S. politician,,White,White,Democrat,,
2017-01-24,White House,Senate Majority Leader,Mitch McConnell,U.S. politician,,White,White,Republican,,
2017-01-24,White House,Senate Judiciary Committee Chairman,Chuck Grassley,U.S. politician,,White,White,Republican,,
2017-01-24,White House,"California Senator, Top Democrat on Senate Judiciary",Dianne Feinstein,U.S. politician,,White,White,Democrat,,
2017-01-24,White House,President,Matt Blunt,Executive,American Automotive Policy Council,White,White,,,
2017-01-24,By phone,Political Correspondent,Maggie Haberman,Media,New York Times,White,White,,,
2017-01-25,By phone,Governor of Mississippi,Phil Bryant,U.S. politician,,White,White,Republican,,
2017-01-25,White House,Host,David Muir,Media,ABC News,White,White,,,
2017-01-26,White House,"Journalist, TV Host",Sean Hannity,Media,FOX News,White,White,,,
2017-01-27,White House,Prime Minister of Britain,Theresa May,Foreign leader,,White,White,,United Kingdom,
2017-01-27,White House,White House Correspondent,David Brody,Media,Christian Brodcasting Network,White,White,,,
2017-01-27,White House,Then-Director of the FBI,James B Comey,,,White,White,Independent,,
2017-01-28,By phone,Prime Minister of Japan,Shinzō Abe,Foreign leader,,Asian,Asian,,Japan,
2017-01-28,By phone,Chancellor of Germany,Angela Merkel,Foreign leader,,White,White,,Germany,
2017-01-28,By phone,Prime Minister of Australia,Malcolm Turnbull,Foreign leader,,White,White,,Australia,
2017-01-28,By phone,President of France,François Hollande,Foreign leader,,White,White,,France,
2017-01-28,By phone,President of Russia,Vladimir Putin,Foreign leader,,White,White,,Russian Federation,
2017-01-29,By phone,King of Saudi Arabia,Salman bin Abdulaziz Al-Saud,Foreign leader,,White,White,,Saudi Arabia,
2017-01-29,By phone,Crown Prince of Abu Dhabi,Mohammed bin Zayed bin Sultan Al-Nahyan,Foreign leader,,White,White,,United Arab Emirates,
2017-01-29,By phone,President of South Korea,Hwang Kyo-ahn,Foreign leader,,Asian,Asian,,"Korea, Republic of",
2017-01-29,White House,MSNBC Host,Joe Scarborough,Media,MSNBC,White,White,,,Former Florida Representative
2017-01-29,White House,MSNBC Host,Mika Brzezinski,Media,MSNBC,White,White,,,
2017-01-30,White House,Owner,Dennis Bradford,Executive,The Genesis Group,White,White,,,
2017-01-30,White House,Owner,Casey T Patten,Executive,Taylor Gourmet,White,White,,,
2017-01-30,White House,Owner,Irma Aguirre,Executive,Mexican Bistro Café,Hispanic,Hispanic,,,
2017-01-30,White House,Owner,Chris Christou,Executive,Gold Crust Baking Co.,White,White,,,
2017-01-30,White House,Owner,Jacqueline F Krick,Executive,ECU Communications,White,White,,,
2017-01-30,White House,Owner,Natalia M Luis,Executive,Luis Asphalt Construction Co,White,White,,,
2017-01-30,White House,Chief of Operations,Larry N McKenney,Executive,Capitol Radiology,White,White,,,
2017-01-30,White House,Owner,Joy A Weatherup-Anthis,Executive,JWA Construction Management,White,White,,,
2017-01-30,White House,President and CEO,Roger Campos,Executive,Minority Business Roundtable,Hispanic,Hispanic,,,
2017-01-31,White House,Chairman and CEO,Robert A Bradway,Executive,Amgen,White,White,,,
